"AGE_ADJUSTED_CI_LOWER","AGE_ADJUSTED_CI_UPPER","AGE_ADJUSTED_RATE","COUNT","ICCC_GROUP","POPULATION","AGE","RACE","SEX","YEAR","CRUDE_CI_LOWER","CRUDE_CI_UPPER","CRUDE_RATE","SERIALID"
"1.10000002384186","1.70000004768372","1.39999997615814","74","I(e) Unspecified and other specified leukemias",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",69
"15.3999996185303","17.5","16.3999996185303","882","II Lymphomas and reticuloendothelial neoplasms",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",70
"5.30000019073486","6.59999990463257","5.90000009536743","320","II(a) Hodgkin lymphomas",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",71
"5.30000019073486","6.59999990463257","5.90000009536743","318","II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",72
"2.29999995231628","3.20000004768372","2.70000004768372","144","II(c) Burkitt lymphoma",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",73
"0.899999976158142","1.5","1.20000004768372","64","II(d) Miscellaneous lymphoreticular neoplasms",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",74
"0.5","0.899999976158142","0.699999988079071","36","II(e) Unspecified lymphomas",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",75
"31.2999992370605","34.4000015258789","32.9000015258789","1759","III CNS and misc intracranial and intraspinal neoplasms",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",76
"2.29999995231628","3.20000004768372","2.70000004768372","146","III(a) Ependymomas and choroid plexus tumor",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",77
"15.6999998092651","17.8999996185303","16.7999992370605","900","III(b) Astrocytomas",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",78
"6.90000009536743","8.39999961853027","7.59999990463257","407","III(c) Intracranial and intraspinal embryonal tumors",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",79
"4","5.19999980926514","4.59999990463257","246","III(d) Other gliomas",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",80
"0.300000011920929","0.699999988079071","0.400000005960464","24","III(e) Other specified intracranial & intraspinal neoplasms",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",81
"0.5","0.899999976158142","0.699999988079071","36","III(f) Unspecified intracranial and intraspinal neoplasms",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",82
"9.30000019073486","11","10.1000003814697","539","IV Neuroblastoma and other peripheral nervous cell tumors",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",83
"9.19999980926514","10.8999996185303","10","532","IV(a) Neuroblastoma and ganglioneuroblastoma",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",84
"null","null","null","null","IV(b) Other peripheral nervous cell tumors",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",85
"9.5","11.1999998092651","10.3000001907349","553","IX Soft tissue and other extraosseous sarcomas",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",86
"4.69999980926514","5.90000009536743","5.30000019073486","281","IX(a) Rhabdomyosarcomas",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",87
"0.699999988079071","1.20000004768372","0.899999976158142","49","IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",88
"null","null","null","null","IX(c) Kaposi sarcoma",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",89
"2.70000004768372","3.59999990463257","3.09999990463257","167","IX(d) Other specified soft tissue sarcomas",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",90
"0.800000011920929","1.29999995231628","1","55","IX(e) Unspecified soft tissue sarcomas",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",91
"null","null","null","null","Not classified by ICCC",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",92
"3.90000009536743","5","4.40000009536743","235","V Retinoblastoma",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",93
"8","9.60000038146973","8.80000019073486","467","VI Renal tumors",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",94
"7.59999990463257","9.19999980926514","8.39999961853027","446","VI(a) Nephroblastoma and other nonepithelial renal tumors",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",95
"0.200000002980232","0.600000023841858","0.400000005960464","20","VI(b) Renal carcinomas",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",96
"null","null","null","null","VI(c) Unspecified malignant renal tumors",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",97
"1.89999997615814","2.70000004768372","2.29999995231628","120","VII Hepatic tumors",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",98
"1.70000004768372","2.40000009536743","2","107","VII(a) Hepatoblastoma",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",99
"null","null","null","null","VII(b) Hepatic carcinomas",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",100
"null","null","null","null","VII(c) Unspecified malignant hepatic tumors",53577590,"0-14","All Races","Male and Female","2000-04-01 00:00:00","null","null","null",101
